KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000847001,T000847002,T000847003,T000847004,T000847005,T000847006,T000847007,T000847008,T000847009,T000847010,T000847011,T000847012,T000847013,T000847014,T000847015,T000847016,T000847017,T000847018,T000847019,T000847020,T000847021,T000847022,T000847023,T000847024,T000847025,T000847026,T000847027,T000847028,T000847029,T000847030,T000847031,T000847032,T000847033,T000847034,T000847035,T000847036,T000847037,T000847038,T000847039,T000847040,T000847041
,,,,　人口総数,　人口総数　男,　人口総数　女,　０～１４歳人口総数,　０～１４歳人口　男,　０～１４歳人口　女,　１５歳以上人口総数,　１５歳以上人口　男,　１５歳以上人口　女,　１５～６４歳人口総数,　１５～６４歳人口　男,　１５～６４歳人口　女,　２０歳以上人口総数,　２０歳以上人口　男,　２０歳以上人口　女,　６５歳以上人口総数,　６５歳以上人口　男,　６５歳以上人口　女,　７５歳以上人口総数,　７５歳以上人口　男,　７５歳以上人口　女,　外国人人口総数,　外国人人口　男,　外国人人口　女,　世帯総数,　一般世帯数,　１人世帯の一般世帯数,　２人世帯の一般世帯数,　３人世帯の一般世帯数,　４人世帯の一般世帯数,　５人世帯の一般世帯数,　６人世帯の一般世帯数,　７人以上世帯の一般世帯数,　親族のみの一般世帯数,　核家族の一般世帯数,　核家族以外の一般世帯数,　６歳未満世帯員のいる一般世帯数,　６５歳以上世帯員のいる一般世帯数,　世帯主の年齢が２０～２９歳の１人世帯の一般世帯数,　高齢単身の一般世帯数,　高齢夫婦のみの一般世帯数
513350201,0,,,118,54,64,12,7,5,106,47,59,63,30,33,98,44,54,43,17,26,18,6,12,0,0,0,46,46,11,18,7,5,2,2,1,35,27,8,5,29,0,6,10
513350202,0,,,17,9,8,2,0,2,15,9,6,8,5,3,14,8,6,7,4,3,3,2,1,0,0,0,8,8,1,6,0,1,0,0,0,7,7,0,1,4,0,0,4
513350203,0,,,13,6,7,1,1,0,12,5,7,6,2,4,11,4,7,6,3,3,3,1,2,0,0,0,6,6,2,2,1,1,0,0,0,4,4,0,1,4,0,2,1
513350282,0,,,15,4,11,0,0,0,15,4,11,6,1,5,15,4,11,9,3,6,4,0,4,0,0,0,6,6,2,1,1,2,0,0,0,4,2,2,0,6,0,2,1
513350283,0,,,13,5,8,1,0,1,12,5,7,5,2,3,12,5,7,7,3,4,2,1,1,0,0,0,7,7,2,4,1,0,0,0,0,5,4,1,0,4,0,1,1
513350292,1,,513350293;513350294,8,4,4,2,0,2,16,8,8,8,4,4,15,7,8,8,4,4,4,1,3,0,0,0,5,5,2,4,1,0,1,0,0,6,5,1,0,6,0,2,3
513350293,2,513350292,,8,3,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513350294,2,513350292,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513350301,2,513350302,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513350302,1,,513350301;513350304,24,13,11,2,1,1,32,17,15,13,6,7,32,17,15,19,11,8,13,8,5,0,0,0,11,11,5,7,1,3,0,0,0,11,9,2,1,13,0,5,5
513350303,0,,,11,5,6,0,0,0,11,5,6,4,3,1,11,5,6,7,2,5,5,1,4,0,0,0,6,6,2,3,1,0,0,0,0,4,4,0,0,5,0,2,2
513350304,2,513350302,,8,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513350313,1,,513350411,41,18,23,2,0,2,46,22,24,30,14,16,44,21,23,16,8,8,6,2,4,1,0,1,15,15,1,3,11,2,0,0,0,15,10,5,1,11,0,1,1
513350401,2,513350403,,7,4,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513350403,1,,513350401,17,4,13,1,0,1,23,8,15,8,2,6,23,8,15,15,6,9,14,6,8,0,0,0,9,9,4,7,2,0,0,0,0,9,9,0,1,10,0,3,4
513350404,0,,,9,4,5,0,0,0,9,4,5,5,3,2,9,4,5,4,1,3,3,1,2,0,0,0,4,4,0,3,1,0,0,0,0,4,3,1,0,3,0,0,1
513350411,2,513350313,,7,4,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513350511,2,513350513,,6,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513350512,2,513350513,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513350513,1,,513350511;513350512,15,7,8,0,0,0,23,11,12,8,5,3,23,11,12,15,6,9,9,3,6,0,0,0,9,9,3,8,0,1,0,0,0,9,8,1,0,11,0,3,4
513350533,2,513350633,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513350544,2,513350642,,8,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513350551,0,,,14,5,9,0,0,0,14,5,9,8,3,5,12,4,8,6,2,4,3,1,2,0,0,0,4,4,0,1,1,1,1,0,0,4,2,2,0,4,0,0,0
